country,ef_epi_score,ef_epi_band,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,pollution_index,climate_index,official_languages,english_official,region,population,currency,gdp_per_capita_usd,skilled_worker_visa,visa_name,passport_visa_free_count
Argentina,,,110.2,33.9,36,68.3,30.3,51,98.3,,,,,,,,,
Australia,,,165.7,89.3,53.3,71.4,75.4,28.2,93.9,,,,,,,,,
Austria,,,183.3,85.6,72.4,76.5,68.7,21.1,76.9,,,,,,,,,
Azerbaijan,,,108.5,28.6,68.3,47.5,30.6,73.4,91.4,,,,,,,,,
Bangladesh,,,69.5,26.2,37.5,42,26.2,85.2,72.9,,,,,,,,,
Belarus,,,117,35.9,48.6,47.7,36.3,44.4,64.4,,,,,,,,,
Belgium,,,156.4,90.7,51.1,75.2,65.8,49.7,86,,,,,,,,,
Bosnia And Herzegovina,,,127.2,45.3,57.5,54.8,36.7,60.7,82.3,,,,,,,,,
Brazil,,,106.8,28,33.9,58.6,37.7,52.9,94.4,,,,,,,,,
Bulgaria,,,131.4,49.2,62.5,56.9,40.3,63.8,82.8,,,,,,,,,
Canada,,,156.4,90.9,55.2,69.7,68,29.8,53.9,,,,,,,,,
Chile,,,99.1,33.9,41.3,63.6,47.7,77.2,90.2,,,,,,,,,
China,,,105.1,58.2,74.2,67.6,36.5,78.8,79.4,,,,,,,,,
Colombia,,,99.2,27.9,39.2,68.2,27.6,62.9,82.9,,,,,,,,,
Croatia,,,161.6,54.5,73.9,64.5,47.4,31.5,89.7,,,,,,,,,
Cyprus,,,146.5,52.6,67.4,55.3,59.2,55.5,93.3,,,,,,,,,
Czech Republic,,,162.3,67.9,73.2,75.2,52.8,35.2,78,,,,,,,,,
Denmark,,,190.6,96.9,73.4,78.4,79.2,21.9,81.8,,,,,,,,,
Ecuador,,,119.8,35.8,39.3,67.9,34.2,58.7,94.5,,,,,,,,,
Egypt,,,88.6,17.4,53,47.7,21.7,82.9,90.8,,,,,,,,,
Estonia,,,176.4,62.7,75.5,75.9,55.9,17.1,64.3,,,,,,,,,
Finland,,,188.1,93.8,73.5,77.5,68.7,11.8,56.6,,,,,,,,,
France,,,153.2,81.5,45.4,78.8,69.1,42.8,90.3,,,,,,,,,
Georgia,,,116,25.2,73.8,54.5,40.6,68.2,84.2,,,,,,,,,
Germany,,,176,100.2,62,71.8,66,29,83.3,,,,,,,,,
Greece,,,128.9,41.4,53.5,57.2,53.2,51.7,93.1,,,,,,,,,
Hong Kong (China),,,105.5,68.8,78.3,65.6,72.4,67.2,83.6,,,,,,,,,
Hungary,,,131.6,48.4,66.2,54.2,48,47.9,79.5,,,,,,,,,
Iceland,,,191.1,100.4,75,67.2,87.7,15.7,68.8,,,,,,,,,
India,,,116.1,61.7,55.6,65.2,22.9,72.8,64.5,,,,,,,,,
Indonesia,,,92,24.7,54.1,60.6,30.8,67.3,59.7,,,,,,,,,
Iran,,,77.6,21.6,50.2,52.3,28.4,75.5,65.7,,,,,,,,,
Ireland,,,153.2,80,53.9,51.9,70.4,34.7,89.1,,,,,,,,,
Israel,,,147.2,76.3,67.8,73.6,70,57,94,,,,,,,,,
Italy,,,140.3,63.8,52.7,65.9,61,54.6,90.8,,,,,,,,,
Japan,,,175.5,94.3,77.1,79.6,54.3,39,84.8,,,,,,,,,
Jordan,,,116.3,34.9,59.3,65.1,45.3,76.2,89,,,,,,,,,
Kazakhstan,,,96.5,33.1,53.6,60.4,34.3,73,39.8,,,,,,,,,
Kenya,,,103.5,31,43.2,61.5,28.9,69.2,99.8,,,,,,,,,
Kuwait,,,129.7,106.9,67.4,58.1,46.1,67.9,20.2,,,,,,,,,
Latvia,,,152.6,50.3,62.7,62.7,51,30.9,74.7,,,,,,,,,
Lebanon,,,82.4,19.4,53.5,62.4,53.1,89.4,94.7,,,,,,,,,
Lithuania,,,160.4,54.8,66.8,73.7,49.9,26.7,69.9,,,,,,,,,
Luxembourg,,,200.1,133.2,66,77.3,71.7,22.1,82.6,,,,,,,,,
Malaysia,,,123.4,57.8,48.4,70,32.3,61.5,59.2,,,,,,,,,
Malta,,,121.8,51.7,60,52,59.4,75.7,97.4,,,,,,,,,
Mexico,,,125,39.9,45.9,72.6,42.4,58.5,85.5,,,,,,,,,
Morocco,,,104.7,31.2,52.9,45.4,30.1,69.4,90,,,,,,,,,
Netherlands,,,200.1,106.9,73.8,78.6,67.5,21.9,86.7,,,,,,,,,
New Zealand,,,170.9,87.3,52.9,69.7,70.7,25.7,96.4,,,,,,,,,
Nigeria,,,49.5,9.4,34.2,48,23.2,88.2,60.8,,,,,,,,,
North Macedonia,,,109.4,35.9,59.3,55.1,32.5,79.6,78.6,,,,,,,,,
Norway,,,181.8,90.7,67.5,76.6,82.2,18,68.7,,,,,,,,,
Oman,,,184.8,106.2,80.4,59,49.6,36.7,67.2,,,,,,,,,
Pakistan,,,101.4,22,57.2,59.5,17.6,73.5,71.9,,,,,,,,,
Panama,,,116.8,33.3,55.9,60.7,48.2,56,67.8,,,,,,,,,
Peru,,,80.3,28,32.5,56.3,33.6,83,97.7,,,,,,,,,
Philippines,,,82.1,21,57.4,67.4,35.9,72.9,68.2,,,,,,,,,
Poland,,,139.6,59.9,70.8,58.9,44.7,54.6,75.9,,,,,,,,,
Portugal,,,166.5,49.8,69.3,72.3,46.1,28.8,97.8,,,,,,,,,
Qatar,,,166.6,120.2,85.7,73.5,59.3,60,36,,,,,,,,,
Romania,,,129.9,47.5,67.2,56.4,38.4,58.9,77.2,,,,,,,,,
Russia,,,104.2,40.2,60.3,60,32.1,60.7,48.9,,,,,,,,,
Saudi Arabia,,,150.7,98.7,75.7,61.4,50.1,63.2,41.4,,,,,,,,,
Serbia,,,113.1,34.9,61.5,52.2,40.5,64.7,83.2,,,,,,,,,
Singapore,,,153.2,85.9,76.9,70.9,85.9,33,57.5,,,,,,,,,
Slovakia,,,148.2,51.2,68.7,59.7,47.5,37.3,78.1,,,,,,,,,
Slovenia,,,169.3,59.6,75.8,66.4,51.6,22.3,77.6,,,,,,,,,
South Africa,,,136.9,78.1,24.5,63.5,34.5,56.6,96,,,,,,,,,
South Korea,,,138.1,83.5,74.7,83,69.2,62.2,68.4,,,,,,,,,
Spain,,,177.7,83.6,64.2,77.5,49.9,36.7,93.7,,,,,,,,,
Sri Lanka,,,76.5,14.6,57.8,71.5,33.8,59.6,59.1,,,,,,,,,
Sweden,,,174.8,95.3,51.9,68.5,60.9,17.9,74.9,,,,,,,,,
Switzerland,,,185.8,110.8,75.1,73.4,117.3,21.2,79.6,,,,,,,,,
Taiwan,,,144.9,67.8,83.9,85.9,53.3,65,84.1,,,,,,,,,
Thailand,,,98.5,31.7,61.7,77.9,38.5,75.4,69.4,,,,,,,,,
Turkey,,,118.3,32.5,59.8,71.1,27.1,64.7,85.8,,,,,,,,,
Ukraine,,,107.3,31.2,53.2,55.3,30.7,62,70.7,,,,,,,,,
United Arab Emirates,,,173.8,118,85.4,69.6,60.7,47.7,45.8,,,,,,,,,
United Kingdom,,,164.2,94.3,53.1,73.7,63.6,40.3,88.3,,,,,,,,,
United States,,,173,117.7,50.8,68.2,74.2,36.5,77.8,,,,,,,,,
Uruguay,,,136.2,40.6,48.1,68.6,61,42.8,98,,,,,,,,,
Venezuela,,,74.4,11.3,17.9,39.2,41.8,75.5,99.9,,,,,,,,,
Vietnam,,,89.3,30.3,55.9,59.9,34.5,84.2,71.1,,,,,,,,,
